SAMPLE_ID,lon,lat,LOI_PCT,PH_CACL2,DATASOURCE,DATASET,OBJECTID,A_PHLOI_ID,X_ITM,Y_ITM,GLOBALID
559628A,-6.503610599562409,54.77294742538156,55.67,5.42,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14814,IE_GSI_GSNI_ApHLOI_14814,696279.14,892690.247,{33254F2D-81D1-408D-96BE-A83D042F847A}
559629A,-6.456014174555158,54.79816165773359,12.11,4.99,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14815,IE_GSI_GSNI_ApHLOI_14815,699279.504,895562.622,{FF3E12A3-C2C9-4F33-A00B-F716B9831BB6}
559630A,-6.614776786807753,54.78358419924379,16.25,4.86,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14816,IE_GSI_GSNI_ApHLOI_14816,689103.7000000001,893727.051,{9F7D427F-BB38-487A-A26B-6348368E9123}
559631A,-6.423281696236227,54.836093078992086,14.280000000000001,5.15,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14817,IE_GSI_GSNI_ApHLOI_14817,701289.085,899830.701,{F3E0A498-A2E5-4C48-B1EE-6EE5C1FD44B8}
559632A,-6.423412722432014,54.85428716480349,13.3,5.41,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14818,IE_GSI_GSNI_ApHLOI_14818,701235.105,901855.267,{88548C23-78AA-4C36-9E8B-ADFB403DA054}
559633A,-6.669948286544565,54.83686366015621,11.700000000000001,4.96,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14819,IE_GSI_GSNI_ApHLOI_14819,685442.532,899587.809,{EB7192E3-3235-40B3-BD96-B0C065DA9D74}
559634A,-6.501938238655153,54.86396879434561,39.42,5.41,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14820,IE_GSI_GSNI_ApHLOI_14820,696170.216,902822.074,{66CD3C5D-1EFC-46CE-81C8-A535B8D9D43F}
559635A,-6.545785432277256,54.763003279657354,10.46,4.53,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14821,IE_GSI_GSNI_ApHLOI_14821,693588.716,891526.506,{EC0617DA-0DD0-4C66-9821-8DF09BF0616A}
559636A,-6.5513137028564685,54.74829103439301,12.74,5.05,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14822,IE_GSI_GSNI_ApHLOI_14822,693266.776,889881.86,{D6071974-446D-4EC8-9044-0D2C3BA36AD0}
559637A,-6.665994731655949,54.81705636783795,5.05,4.76,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14823,IE_GSI_GSNI_ApHLOI_14823,685738.453,897388.28,{224D7596-D779-4717-A00C-015CAEC14811}
559638A,-6.30445031875824,54.89202514407035,19.09,5.16,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14824,IE_GSI_GSNI_ApHLOI_14824,708771.464,906233.317,{A2FC8FC0-12D1-44EB-87A3-DE7620637E1B}
559639A,-6.405421178430068,54.89745330733857,15.18,4.57,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14825,IE_GSI_GSNI_ApHLOI_14825,702280.893,906685.23,{41E2FB4F-A795-4A14-9576-B64756F5734E}
559640A,-6.636605925440898,54.815741517536274,15.780000000000001,4.84,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14826,IE_GSI_GSNI_ApHLOI_14826,687630.042,897278.295,{750C12D5-8353-40CC-98F0-6F45A640DFAD}
559641A,-6.425796994629186,54.81425887230099,13.49,4.99,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14827,IE_GSI_GSNI_ApHLOI_14827,701182.099,897397.223,{0E0B4048-1EE7-44C7-B407-C273630F4212}
559642A,-6.644141025035286,54.78120292566704,12.780000000000001,5.0600000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14828,IE_GSI_GSNI_ApHLOI_14828,687220.106,893425.124,{1BBA88CA-8127-4F64-A37E-18962FEEBAC0}
559643A,-6.473420922994012,54.76828584882278,9.19,4.74,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14829,IE_GSI_GSNI_ApHLOI_14829,698232.714,892213.343,{76788CF4-E7AA-4103-BA1C-4814A0EC337A}
559645A,-6.431936788003084,54.84208066358383,22.06,4.94,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14830,IE_GSI_GSNI_ApHLOI_14830,700718.213,900484.562,{49E0B8F1-0ED3-4CA7-835A-EA7F3ACAE5EB}
559646A,-6.484950457805548,54.81649417964629,15.26,4.8500000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14831,IE_GSI_GSNI_ApHLOI_14831,697374.928,897562.198,{D56F8E5A-1C27-46D6-91B3-74D150DFEFB4}
559647A,-6.53231148617372,54.76826719586898,11.73,4.63,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14832,IE_GSI_GSNI_ApHLOI_14832,694443.535,892130.373,{9EA7E4DB-F24B-4BF9-8517-9516101EDD6D}
559648A,-6.446414280514443,54.86677475023629,27.25,5.05,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14833,IE_GSI_GSNI_ApHLOI_14833,699727.4400000001,903211.98,{F9D172D8-39F2-4D99-B11D-97A0D95A4E54}
559649A,-6.489884690157882,54.80099565906922,10.6,6.0600000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14834,IE_GSI_GSNI_ApHLOI_14834,697094.98,895830.571,{466E5CEE-D2D5-454D-A1BE-51A7A1FA5726}
559650A,-6.465637946046359,54.88023434533314,16.64,5.51,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14835,IE_GSI_GSNI_ApHLOI_14835,698460.723,904682.668,{698A730B-FB71-4DCD-A2FC-F9F1882AB0C4}
559651A,-6.609553956563248,54.79807805612218,9.540000000000001,4.7,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14836,IE_GSI_GSNI_ApHLOI_14836,689407.645,895346.702,{FC31659D-78FC-4CF1-9399-BF55EFED7E53}
559652A,-6.594617093189373,54.827911504523854,12.88,5.5,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14837,IE_GSI_GSNI_ApHLOI_14837,690301.471,898685.982,{776F2A3B-DE35-4FEB-A8B3-16D93FE50108}
559654A,-6.4673251227522615,54.86000617552422,21.17,4.8100000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14838,IE_GSI_GSNI_ApHLOI_14838,698401.727,902429.152,{6D6ADFE5-D8C9-443D-A297-EC3E298591FF}
559655A,-6.48619230437717,54.84899517253826,9.82,4.75,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14839,IE_GSI_GSNI_ApHLOI_14839,697216.98,901177.423,{92F4EBEA-1E4A-4146-904B-5A01D01F4A73}
559656A,-6.61309462610827,54.765974830518495,15.11,5.0600000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14840,IE_GSI_GSNI_ApHLOI_14840,689250.656,891769.47,{321E05BD-FFE2-4903-BBE3-090B250E3801}
559657A,-6.449994827081785,54.813231774102704,79.99,4.93,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14841,IE_GSI_GSNI_ApHLOI_14841,699629.436,897248.259,{00C9F750-B3DD-43E7-BE27-FCD6553EFAB8}
559658A,-6.574845436360976,54.77958198893948,10.56,5.36,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14842,IE_GSI_GSNI_ApHLOI_14842,691681.14,893333.125,{3C23A473-9561-46BB-8243-7FAABE5071A1}
559659A,-6.562155685853827,54.77277522684423,9.200000000000001,5.2700000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14843,IE_GSI_GSNI_ApHLOI_14843,692512.955,892592.281,{DE59536C-CA31-479B-8AED-E26A71A244DD}
559660A,-6.6092943773577995,54.83595924765187,11.66,5.3500000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14844,IE_GSI_GSNI_ApHLOI_14844,689340.685,899562.798,{5870EDB4-35B9-4CD9-A555-85F33911DD15}
559661A,-6.665156368889509,54.80332916588679,16.31,4.03,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14845,IE_GSI_GSNI_ApHLOI_14845,685821.425,895861.607,{63DB18A7-FCEE-4F05-B41E-0F4E79AC5198}
559663A,-6.373606597608465,54.89279111539293,37.37,5.34,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14846,IE_GSI_GSNI_ApHLOI_14846,704333.441,906213.327,{63332700-9C99-4B81-AB72-E0945551FE07}
559664A,-6.666896784850433,54.78164382937197,5.92,5.41,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14847,IE_GSI_GSNI_ApHLOI_14847,685755.422,893446.126,{6A24F2F3-96CC-48F5-ACF4-7D2E87E99D05}
559665A,-6.544112923453666,54.78405027706973,32.05,4.95,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14848,IE_GSI_GSNI_ApHLOI_14848,693647.717,893871.002,{517CB929-A5F7-42D8-AA3B-FF5A009B4C57}
559666A,-6.343657944123194,54.89258407408237,14.18,4.93,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14849,IE_GSI_GSNI_ApHLOI_14849,706255.018,906235.319,{9634291B-9102-4A7D-927E-45C172B0A9C6}
559667A,-6.467865880714568,54.82479637533325,58.02,3.2800000000000002,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14850,IE_GSI_GSNI_ApHLOI_14850,698452.698,898509.992,{3701EEE6-12D8-46D3-9F40-5801A7DB31E2}
559668A,-6.530395961879566,54.75038408135777,30.05,4.76,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14851,IE_GSI_GSNI_ApHLOI_14851,694608.487,890142.799,{699B0809-7517-45EC-B980-D00A8DED66DA}
559669A,-6.463341539934967,54.80913418296992,11.51,4.55,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14852,IE_GSI_GSNI_ApHLOI_14852,698781.618,896773.363,{7F049719-1CD3-4904-88C2-CF88F0D07C68}
559670A,-6.259340884417604,54.88630210147393,18.900000000000002,4.87,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14853,IE_GSI_GSNI_ApHLOI_14853,711680.822,905667.436,{0A804016-F8CC-4656-8C03-AE7FC95330E5}
559671A,-6.483106877670812,54.86773277818002,36.96,4.13,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14854,IE_GSI_GSNI_ApHLOI_14854,697369.956,903266.975,{C83BF224-CF70-48B8-B4B9-CE6467FD6F7C}
559672A,-6.576260866424092,54.836591410672014,15.33,4.7,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14855,IE_GSI_GSNI_ApHLOI_14855,691461.225,899675.765,{8CC8DC5A-67FA-4527-A597-925A677C496F}
559673A,-6.566635369726257,54.75639687295576,15.09,4.92,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14856,IE_GSI_GSNI_ApHLOI_14856,692261.998,890763.674,{41E86453-C70B-40E0-B7C2-FC4461C17722}
559674A,-6.284477929055592,54.8936403442128,16.91,4.3100000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14857,IE_GSI_GSNI_ApHLOI_14857,710048.183,906444.27,{C95037CD-458F-46D6-8841-65BF18BC0793}
559676A,-6.635670192182825,54.83426423394826,11.02,5.0,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14858,IE_GSI_GSNI_ApHLOI_14858,687650.051,899340.852,{84E2163F-2483-47D1-B5C6-F1711B113665}
559677A,-6.579084670091436,54.74156738630423,12.6,5.09,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14859,IE_GSI_GSNI_ApHLOI_14859,691494.154,889097.035,{F30C7473-5C86-4D0A-AD99-83D46EBDC0E0}
559678A,-6.514079230396528,54.77817897163568,12.780000000000001,4.68,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14860,IE_GSI_GSNI_ApHLOI_14860,695593.292,893258.127,{D49BF77C-95B4-4C96-B3E3-EB0264B7CA39}
